HDI rank,Country,HUMAN DEVELOPMENT,GII VALUE,GII RANK,Maternal_mortality,Adolescent_birth_rate,Seats_parliamentt(% held by women),F_secondary_educ,M_secondary_educ,F_Labour_force,M_Labour_force,
138,Sao Tome and Principe,MEDIUM,0.494,124,130,79.4,23.6,39.9,48.4,37.1,69.9,
139,Namibia,MEDIUM,0.445,111,195,64.9,35.6,41.5,44.1,54.5,62.2,
140,Lao People's Democratic Republic,MEDIUM,0.478,120,185,73.2,22.0,37.7,47.7,74.8,78.1,
140,Timor-Leste,MEDIUM,0.378,89,142,33.9,38.5,33.7,41.8,61.0,72.2,
140,Vanuatu,MEDIUM,..,..,72,64.1,0.0,..,..,59.7,78.0,
143,Nepal,MEDIUM,0.452,113,186,63.8,33.6,28.8,44.7,78.7,80.8,
144,Eswatini (Kingdom of),MEDIUM,0.540,138,437,69.9,18.4,34.0,36.2,45.6,53.6,
145,Equatorial Guinea,MEDIUM,..,..,301,139.7,20.3,..,..,49.9,58.5,
146,Cambodia,MEDIUM,0.461,116,160,45.5,19.8,18.3,31.7,74.0,85.9,
146,Zimbabwe,MEDIUM,0.532,134,458,94.3,34.6,61.8,72.4,79.3,88.9,
148,Angola,MEDIUM,0.537,136,241,138.4,29.5,28.2,51.5,74.0,79.1,
149,Myanmar,MEDIUM,0.498,125,250,33.0,15.0,38.5,47.8,41.0,70.0,
150,Syrian Arab Republic,MEDIUM,0.477,119,31,38.7,11.2,37.1,43.4,15.7,70.8,
151,Cameroon,MEDIUM,0.565,148,529,110.4,31.1,36.8,55.0,70.2,80.7,
152,Kenya,MEDIUM,0.506,128,342,64.2,23.2,31.1,37.7,71.0,75.6,
153,Congo,MEDIUM,0.564,147,378,103.6,13.6,48.0,52.0,65.1,67.6,
154,Zambia,MEDIUM,0.540,138,213,117.0,15.1,47.1,56.8,69.2,77.8,
155,Solomon Islands,MEDIUM,..,..,104,60.3,8.0,..,..,83.1,87.4,
156,Comoros,MEDIUM,..,..,273,58.2,16.7,..,..,32.1,54.5,
156,Papua New Guinea,MEDIUM,0.725,169,145,55.3,0.0,10.8,15.5,46.3,48.1,
158,Mauritania,MEDIUM,0.632,161,766,78.0,20.3,14.5,21.9,27.4,62.2,
159,Côte d'Ivoire,MEDIUM,0.613,155,617,105.0,15.6,23.9,32.2,45.9,64.9,
160,Tanzania (United Republic of),LOW,0.560,146,524,123.7,36.9,13.0,19.1,79.5,87.1,
161,Pakistan,LOW,0.534,135,140,42.3,19.9,22.1,28.7,20.7,78.1,
162,Togo,LOW,0.580,149,396,77.9,18.7,13.9,42.3,55.5,59.4,
163,Haiti,LOW,0.635,163,480,52.5,2.7,27.9,41.0,60.7,68.9,
163,Nigeria,LOW,0.680,168,917,101.7,4.5,40.4,55.3,47.9,59.6,
165,Rwanda,LOW,0.388,93,248,32.4,55.7,11.4,16.3,82.5,82.2,
166,Benin,LOW,0.602,152,397,92.3,8.4,21.1,34.4,69.3,72.6,
166,Uganda,LOW,0.530,131,375,107.9,33.8,29.3,36.3,64.2,71.3,
168,Lesotho,LOW,0.557,144,544,89.6,22.9,27.2,24.6,56.1,71.3,
169,Malawi,LOW,0.554,142,349,117.9,22.9,21.3,28.4,71.6,80.0,
170,Senegal,LOW,0.530,131,315,66.5,43.0,11.1,30.9,33.5,56.7,
171,Djibouti,LOW,..,..,248,22.7,26.2,..,..,17.2,44.1,
172,Sudan,LOW,0.553,141,295,79.9,31.0,16.4,20.1,28.7,67.8,
173,Madagascar,LOW,0.556,143,335,119.4,17.2,27.3,29.8,81.5,87.6,
174,Gambia,LOW,0.611,153,597,63.2,8.6,29.9,43.2,48.9,66.3,
175,Ethiopia,LOW,0.520,129,401,69.2,39.5,9.1,20.1,72.3,84.7,
176,Eritrea,LOW,..,..,480,64.4,22.0,..,..,70.2,83.6,
177,Guinea-Bissau,LOW,0.627,159,667,87.5,13.7,9.8,22.8,63.9,78.4,
178,Liberia,LOW,0.648,164,661,123.4,9.7,20.8,39.2,69.8,79.7,
179,Congo (Democratic Republic of the),LOW,0.601,151,473,109.0,14.3,40.3,69.1,61.2,69.1,
180,Afghanistan,LOW,0.678,167,638,82.6,27.2,6.4,14.9,14.8,66.5,
181,Sierra Leone,LOW,0.633,162,"1,120",100.9,12.3,34.7,51.5,56.1,55.9,
182,Guinea,LOW,0.621,157,576,114.8,16.7,7.2,19.7,62.1,62.2,
183,Yemen,LOW,0.820,170,164,54.4,0.3,22.4,37.5,6.0,67.6,
184,Burkina Faso,LOW,0.621,157,320,110.5,6.3,11.3,17.1,57.2,72.7,
185,Mozambique,LOW,0.537,136,289,165.8,42.4,10.8,20.2,77.7,78.9,
186,Mali,LOW,0.613,155,562,150.1,27.3,8.0,15.5,57.7,79.7,
187,Burundi,LOW,0.505,127,548,53.6,38.9,7.8,13.0,79.0,77.4,
188,Central African Republic,LOW,0.672,166,829,160.5,12.9,13.9,31.6,63.3,79.5,
189,Niger,LOW,0.611,153,509,170.5,25.9,9.2,15.2,61.7,84.3,
190,Chad,LOW,0.652,165,"1,140",138.3,32.3,7.7,24.4,46.9,69.9,
191,South Sudan,LOW,0.587,150,"1,150",99.2,32.3,26.5,36.4,70.4,73.6,
192,Korea (Democratic People's Rep. of),OTHER,..,..,89,2.3,17.6,..,..,77.2,86.1,
193,Monaco,OTHER,..,..,..,7.2,33.3,..,..,..,..,
194,Nauru,OTHER,..,..,..,72.5,10.5,..,..,..,..,
195,Somalia,OTHER,..,..,829,118.0,24.6,..,..,20.9,47.0,
